2025-01-22T10:02:12.224Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 15ms
2025-01-22T10:02:13.396Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 8ms
2025-01-22T10:02:18.589Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T10:02:29.273Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 10ms
2025-01-22T10:02:29.273Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T10:02:29.359Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 3ms
2025-01-22T10:12:58.924Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 32ms
2025-01-22T10:13:01.895Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T10:13:16.929Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 16ms
2025-01-22T10:13:19.998Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 23ms
2025-01-22T10:13:42.388Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 24ms
2025-01-22T10:13:58.017Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 15ms
2025-01-22T10:14:02.111Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 15ms
2025-01-22T10:14:04.032Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T10:14:05.204Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 22ms
2025-01-22T10:14:08.393Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 20ms
2025-01-22T10:14:25.791Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 20ms
2025-01-22T10:14:34.143Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 30ms
2025-01-22T10:14:37.457Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 27ms
2025-01-22T10:14:42.051Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 23ms
2025-01-22T10:14:54.538Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T10:15:01.287Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 20ms
2025-01-22T10:15:37.645Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 13ms
2025-01-22T10:15:40.567Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 13ms
2025-01-22T10:17:31.668Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 16ms
2025-01-22T10:20:25.138Z INFO: POST /methods 500 - ::ffff:127.0.0.1 - 10ms
2025-01-22T10:21:59.803Z INFO: POST /methods 500 - ::ffff:127.0.0.1 - 24ms
2025-01-22T10:23:09.614Z INFO: POST /methods 200 - ::ffff:127.0.0.1 - 37ms
2025-01-22T10:23:09.633Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 12ms
2025-01-22T10:23:34.293Z INFO: POST /methods 409 - ::ffff:127.0.0.1 - 8ms
2025-01-22T10:23:44.719Z INFO: POST /methods 409 - ::ffff:127.0.0.1 - 19ms
2025-01-22T10:24:10.955Z INFO: POST /methods 409 - ::ffff:127.0.0.1 - 7ms
2025-01-22T10:33:25.835Z INFO: GET /clients 304 - ::ffff:127.0.0.1 - 17ms
2025-01-22T10:33:25.895Z INFO: GET /sectors 304 - ::ffff:127.0.0.1 - 8ms
2025-01-22T10:33:25.897Z INFO: GET /sectors 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T10:33:25.899Z INFO: GET /client-types 304 - ::ffff:127.0.0.1 - 10ms
2025-01-22T10:33:25.907Z INFO: GET /client-types 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T10:33:29.226Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 16ms
2025-01-22T10:33:29.262Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T10:35:04.820Z INFO: GET /clients 304 - ::ffff:127.0.0.1 - 35ms
2025-01-22T10:35:04.880Z INFO: GET /sectors 304 - ::ffff:127.0.0.1 - 8ms
2025-01-22T10:35:04.881Z INFO: GET /client-types 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T10:35:04.885Z INFO: GET /sectors 200 - ::ffff:127.0.0.1 - 10ms
2025-01-22T10:35:04.886Z INFO: GET /client-types 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T10:35:06.477Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 15ms
2025-01-22T10:35:06.540Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T10:36:23.055Z INFO: GET /auth 200 - ::ffff:127.0.0.1 - 36ms
2025-01-22T10:36:23.137Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 9ms
2025-01-22T10:36:23.417Z INFO: GET /methods 200 - ::ffff:127.0.0.1 - 11ms
2025-01-22T10:36:23.555Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 14ms
2025-01-22T10:36:37.785Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 9ms
2025-01-22T10:36:41.455Z INFO: GET /methods/87 200 - ::ffff:127.0.0.1 - 16ms
2025-01-22T10:51:58.116Z INFO: GET /auth 304 - ::ffff:127.0.0.1 - 26ms
2025-01-22T10:51:58.218Z INFO: GET /notifications 200 - ::ffff:127.0.0.1 - 16ms
2025-01-22T10:52:00.508Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 25ms
2025-01-22T10:52:00.641Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T10:53:08.296Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 17ms
2025-01-22T10:53:59.400Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T10:54:11.376Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T10:54:15.661Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T10:54:20.768Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 11ms
2025-01-22T10:54:24.555Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T10:54:28.526Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T10:54:34.240Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 8ms
2025-01-22T10:54:44.647Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T10:54:46.033Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T11:02:02.837Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 37ms
2025-01-22T11:02:06.002Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 15ms
2025-01-22T11:02:08.445Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 13ms
2025-01-22T11:02:08.446Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 13ms
2025-01-22T11:02:57.848Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 16ms
2025-01-22T11:03:02.306Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 16ms
2025-01-22T11:03:04.344Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 17ms
2025-01-22T11:03:16.792Z INFO: GET /auth 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T11:03:16.841Z INFO: GET /notifications 304 - ::ffff:127.0.0.1 - 8ms
2025-01-22T11:03:16.846Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 12ms
2025-01-22T11:03:16.933Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 5ms
2025-01-22T11:03:16.942Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T11:03:17.849Z INFO: GET /methods 304 - ::ffff:127.0.0.1 - 16ms
2025-01-22T11:03:28.561Z INFO: GET /methods/431 200 - ::ffff:127.0.0.1 - 14ms
2025-01-22T11:03:48.817Z INFO: GET /acc 200 - ::ffff:127.0.0.1 - 6ms
2025-01-22T11:03:48.818Z INFO: GET /methods/431 200 - ::ffff:127.0.0.1 - 6ms
2025-01-22T11:03:52.190Z INFO: GET /methods/431 304 - ::ffff:127.0.0.1 - 12ms
2025-01-22T11:03:52.191Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 14ms
2025-01-22T11:03:53.308Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 7ms
2025-01-22T11:03:53.308Z INFO: GET /methods/431 304 - ::ffff:127.0.0.1 - 6ms
2025-01-22T11:03:56.735Z INFO: GET /acc 304 - ::ffff:127.0.0.1 - 11ms
